0,1,2,3
0.0,0.0,41.06,11.335
0.0,0.0,95.524,113.778
0.0,0.0,114.298,148.839
1.0,0.0,11.597,22.261
1.0,0.0,30.594,55.23
1.0,0.0,30.657,55.224
1.0,0.0,60.8,107.631
2.0,0.0,2.0,62.389
2.0,0.0,30.594,55.23
2.0,0.0,30.657,55.224
2.0,0.0,125.622,31.266
2.0,0.0,125.558,31.236
2.0,0.0,138.894,28.022
3.0,0.0,73.391,2.362
3.0,0.0,137.439,126.071
4.0,0.0,149.902,73.735
4.0,0.0,149.894,73.738
5.0,0.0,150.458,47.358
5.0,0.0,19.852,83.00799999999998
6.0,0.0,67.583,119.758
6.0,0.0,150.231,101.685
7.0,0.0,13.098,109.894
7.0,0.0,166.379,69.423
8.0,0.0,122.227,2.0
8.0,0.0,6.123,38.973
9.0,0.0,30.594,55.23
9.0,0.0,30.657,55.224
10.0,0.0,116.752,15.713
10.0,0.0,157.5,87.04099999999998
11.0,0.0,125.558,31.236
11.0,0.0,125.622,31.266
